Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
5.4,1.8000001,10.0,3.0,5.4,0,,,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,,,
,,,,,5,3.0,3,,,,,,,,,,
,,,,,9,4.0,4,,,,,,,,,,
,,,,,12,3.0,3,,,,,,,,,,
,,,,,16,4.0,4,,,,,,,,,,
,,,,,23,7.0,7,,,,,,,,,,
,,,,,30,7.0,7,,,,,,,,,,
,,,,,34,4.0,4,,,,,,,,,,
,,,,,37,3.0,3,,,,,,,,,,
,,,,,44,7.0,7,,,,,,,,,,
,,,,,53,9.0,9,,,,,,,,,,
,,,,,56,3.0,3,,,,,,,,,,
,,,,,63,7.0,7,,,,,,,,,,
,,,,,76,13.0,13,,,,,,,,,,
,,,,,79,3.0,3,,,,,,,,,,
,,,,,83,4.0,4,,,,,,,,,,
,,,,,86,3.0,3,,,,,,,,,,
,,,,,90,4.0,4,,,,,,,,,,
,,,,,98,8.0,8,,,,,,,,,,
,,,,,105,7.0,7,,,,,,,,,,
,,,,,113,8.0,8,,,,,,,,,,
,,,,,119,6.0,6,,,,,,,,,,
,,,,,124,5.0,5,,,,,,,,,,
,,,,,127,3.0,3,,,,,,,,,,
,,,,,134,7.0,7,,,,,,,,,,
,,,,,138,4.0,4,,,,,,,,,,
,,,,,155,17.0,17,,,,,,,,,,
,,,,,161,6.0,6,,,,,,,,,,
,,,,,171,10.0,10,,,,,,,,,,
,,,,,177,6.0,6,,,,,,,,,,
,,,,,181,4.0,4,,,,,,,,,,
,,,,,197,16.0,16,,,,,,,,,,
,,,,,203,6.0,6,,,,,,,,,,
,,,,,210,7.0,7,,,,,,,,,,
,,,,,216,6.0,6,,,,,,,,,,
,,,,,226,10.0,10,,,,,,,,,,
,,,,,229,3.0,3,,,,,,,,,,
,,,,,244,15.0,15,,,,,,,,,,
,,,,,254,10.0,10,,,,,,,,,,
,,,,,263,9.0,9,,,,,,,,,,
,,,,,270,7.0,7,,,,,,,,,,
,,,,,274,4.0,4,,,,,,,,,,
,,,,,277,3.0,3,,,,,,,,,,
,,,,,285,8.0,8,,,,,,,,,,
,,,,,290,5.0,5,,,,,,,,,,
,,,,,300,10.0,10,,,,,,,,,,
,,,,,306,6.0,6,,,,,,,,,,
,,,,,309,3.0,3,,,,,,,,,,
,,,,,313,4.0,4,,,,,,,,,,
,,,,,319,6.0,6,,,,,,,,,,
,,,,,327,8.0,8,,,,,,,,,,
,,,,,331,4.0,4,,,,,,,,,,
,,,,,335,4.0,4,,,,,,,,,,
,,,,,343,8.0,8,,,,,,,,,,
,,,,,346,3.0,3,,,,,,,,,,
,,,,,354,8.0,8,,,,,,,,,,
,,,,,370,16.0,16,,,,,,,,,,
,,,,,375,5.0,5,,,,,,,,,,
,,,,,384,9.0,9,,,,,,,,,,
,,,,,393,9.0,9,,,,,,,,,,
,,,,,396,3.0,3,,,,,,,,,,
,,,,,399,3.0,3,,,,,,,,,,
,,,,,409,10.0,10,,,,,,,,,,
,,,,,415,6.0,6,,,,,,,,,,
,,,,,421,6.0,6,,,,,,,,,,
,,,,,433,12.0,12,,,,,,,,,,
,,,,,437,4.0,4,,,,,,,,,,
,,,,,441,4.0,4,,,,,,,,,,
,,,,,446,5.0,5,,,,,,,,,,
,,,,,449,3.0,3,,,,,,,,,,
,,,,,453,4.0,4,,,,,,,,,,
,,,,,458,5.0,5,,,,,,,,,,
,,,,,462,4.0,4,,,,,,,,,,
,,,,,465,3.0,3,,,,,,,,,,
,,,,,468,3.0,3,,,,,,,,,,
,,,,,473,5.0,5,,,,,,,,,,
,,,,,482,9.0,9,,,,,,,,,,
,,,,,486,4.0,4,,,,,,,,,,
,,,,,493,7.0,7,,,,,,,,,,
,,,,,497,4.0,4,,,,,,,,,,
,,,,,504,7.0,7,,,,,,,,,,
,,,,,509,5.0,5,,,,,,,,,,
,,,,,513,4.0,4,,,,,,,,,,
,,,,,519,6.0,6,,,,,,,,,,
,,,,,523,4.0,4,,,,,,,,,,
,,,,,529,6.0,6,,,,,,,,,,
,,,,,536,7.0,7,,,,,,,,,,
,,,,,539,3.0,3,,,,,,,,,,
,,,,,544,5.0,5,,,,,,,,,,
,,,,,549,5.0,5,,,,,,,,,,
,,,,,557,8.0,8,,,,,,,,,,
,,,,,565,8.0,8,,,,,,,,,,
,,,,,568,3.0,3,,,,,,,,,,
,,,,,572,4.0,4,,,,,,,,,,
,,,,,578,6.0,6,,,,,,,,,,
,,,,,582,4.0,4,,,,,,,,,,
,,,,,588,6.0,6,,,,,,,,,,
,,,,,592,4.0,4,,,,,,,,,,
,,,,,604,12.0,12,,,,,,,,,,
,,,,,614,10.0,10,,,,,,,,,,
,,,,,617,3.0,3,,,,,,,,,,
,,,,,623,6.0,6,,,,,,,,,,
,,,,,632,9.0,9,,,,,,,,,,
,,,,,635,3.0,3,,,,,,,,,,
,,,,,639,4.0,4,,,,,,,,,,
,,,,,644,5.0,5,,,,,,,,,,
,,,,,648,4.0,4,,,,,,,,,,
,,,,,657,9.0,9,,,,,,,,,,
,,,,,662,5.0,5,,,,,,,,,,
,,,,,667,5.0,5,,,,,,,,,,
,,,,,673,6.0,6,,,,,,,,,,
,,,,,680,7.0,7,,,,,,,,,,
,,,,,688,8.0,8,,,,,,,,,,
,,,,,691,3.0,3,,,,,,,,,,
,,,,,697,6.0,6,,,,,,,,,,
,,,,,712,15.0,15,,,,,,,,,,
,,,,,720,8.0,8,,,,,,,,,,
,,,,,727,7.0,7,,,,,,,,,,
,,,,,732,5.0,5,,,,,,,,,,
,,,,,735,3.0,3,,,,,,,,,,
,,,,,741,6.0,6,,,,,,,,,,
,,,,,746,5.0,5,,,,,,,,,,
,,,,,756,10.0,10,,,,,,,,,,
,,,,,759,3.0,3,,,,,,,,,,
,,,,,762,3.0,3,,,,,,,,,,
,,,,,772,10.0,10,,,,,,,,,,
,,,,,775,3.0,3,,,,,,,,,,
,,,,,780,5.0,5,,,,,,,,,,
,,,,,784,4.0,4,,,,,,,,,,
,,,,,794,10.0,10,,,,,,,,,,
,,,,,798,4.0,4,,,,,,,,,,
,,,,,801,3.0,3,,,,,,,,,,
,,,,,819,18.0,18,,,,,,,,,,
,,,,,824,5.0,5,,,,,,,,,,
,,,,,835,11.0,11,,,,,,,,,,
,,,,,840,5.0,5,,,,,,,,,,
,,,,,843,3.0,3,,,,,,,,,,
,,,,,848,5.0,5,,,,,,,,,,
,,,,,852,4.0,4,,,,,,,,,,
,,,,,856,4.0,4,,,,,,,,,,
,,,,,864,8.0,8,,,,,,,,,,
,,,,,872,8.0,8,,,,,,,,,,
,,,,,879,7.0,7,,,,,,,,,,
,,,,,882,3.0,3,,,,,,,,,,
,,,,,888,6.0,6,,,,,,,,,,
,,,,,893,5.0,5,,,,,,,,,,
,,,,,903,10.0,10,,,,,,,,,,
,,,,,907,4.0,4,,,,,,,,,,
,,,,,914,7.0,7,,,,,,,,,,
,,,,,918,4.0,4,,,,,,,,,,
,,,,,923,5.0,5,,,,,,,,,,
,,,,,926,3.0,3,,,,,,,,,,
,,,,,929,3.0,3,,,,,,,,,,
,,,,,933,4.0,4,,,,,,,,,,
,,,,,937,4.0,4,,,,,,,,,,
,,,,,946,9.0,9,,,,,,,,,,
,,,,,949,3.0,3,,,,,,,,,,
,,,,,956,7.0,7,,,,,,,,,,
,,,,,960,4.0,4,,,,,,,,,,
,,,,,966,6.0,6,,,,,,,,,,
,,,,,975,9.0,9,,,,,,,,,,
,,,,,996,21.0,21,,,,,,,,,,
,,,,,1003,7.0,7,,,,,,,,,,
,,,,,1011,8.0,8,,,,,,,,,,
,,,,,1017,6.0,6,,,,,,,,,,
,,,,,1022,5.0,5,,,,,,,,,,
,,,,,1028,6.0,6,,,,,,,,,,
,,,,,1041,13.0,13,,,,,,,,,,
,,,,,1045,4.0,4,,,,,,,,,,
,,,,,1048,3.0,3,,,,,,,,,,
,,,,,1053,5.0,5,,,,,,,,,,
,,,,,1057,4.0,4,,,,,,,,,,
,,,,,1083,26.0,26,,,,,,,,,,
,,,,,1093,10.0,10,,,,,,,,,,
,,,,,1099,6.0,6,,,,,,,,,,
,,,,,1103,4.0,4,,,,,,,,,,
,,,,,1108,5.0,5,,,,,,,,,,
,,,,,1111,3.0,3,,,,,,,,,,
,,,,,1127,16.0,16,,,,,,,,,,
,,,,,1132,5.0,5,,,,,,,,,,
,,,,,1136,4.0,4,,,,,,,,,,
,,,,,1141,5.0,5,,,,,,,,,,
,,,,,1146,5.0,5,,,,,,,,,,
,,,,,1155,9.0,9,,,,,,,,,,
,,,,,1163,8.0,8,,,,,,,,,,
,,,,,1173,10.0,10,,,,,,,,,,
,,,,,1179,6.0,6,,,,,,,,,,
,,,,,1183,4.0,4,,,,,,,,,,
,,,,,1200,17.0,17,,,,,,,,,,
,,,,,1204,4.0,4,,,,,,,,,,
,,,,,1208,4.0,4,,,,,,,,,,
,,,,,1220,12.0,12,,,,,,,,,,
,,,,,1223,3.0,3,,,,,,,,,,
,,,,,1228,5.0,5,,,,,,,,,,
,,,,,1232,4.0,4,,,,,,,,,,
,,,,,1237,5.0,5,,,,,,,,,,
,,,,,1244,7.0,7,,,,,,,,,,
,,,,,1247,3.0,3,,,,,,,,,,
,,,,,1251,4.0,4,,,,,,,,,,
,,,,,1263,12.0,12,,,,,,,,,,
,,,,,1268,5.0,5,,,,,,,,,,
,,,,,1272,4.0,4,,,,,,,,,,
,,,,,1277,5.0,5,,,,,,,,,,
,,,,,1287,10.0,10,,,,,,,,,,
,,,,,1290,3.0,3,,,,,,,,,,
,,,,,1297,7.0,7,,,,,,,,,,
,,,,,1303,6.0,6,,,,,,,,,,
,,,,,1306,3.0,3,,,,,,,,,,
,,,,,1326,20.0,20,,,,,,,,,,
,,,,,1329,3.0,3,,,,,,,,,,
,,,,,1342,13.0,13,,,,,,,,,,
,,,,,1354,12.0,12,,,,,,,,,,
,,,,,1362,8.0,8,,,,,,,,,,
,,,,,1365,3.0,3,,,,,,,,,,
,,,,,1380,15.0,15,,,,,,,,,,
,,,,,1385,5.0,5,,,,,,,,,,
,,,,,1395,10.0,10,,,,,,,,,,
,,,,,1401,6.0,6,,,,,,,,,,
,,,,,1427,26.0,26,,,,,,,,,,
,,,,,1432,5.0,5,,,,,,,,,,
,,,,,1437,5.0,5,,,,,,,,,,
,,,,,1441,4.0,4,,,,,,,,,,
,,,,,1452,11.0,11,,,,,,,,,,
,,,,,1460,8.0,8,,,,,,,,,,
,,,,,1473,13.0,13,,,,,,,,,,
,,,,,1478,5.0,5,,,,,,,,,,
,,,,,1487,9.0,9,,,,,,,,,,
,,,,,1492,5.0,5,,,,,,,,,,
,,,,,1500,8.0,8,,,,,,,,,,
,,,,,1513,13.0,13,,,,,,,,,,
,,,,,1518,5.0,5,,,,,,,,,,
,,,,,1521,3.0,3,,,,,,,,,,
,,,,,1526,5.0,5,,,,,,,,,,
,,,,,1540,14.0,14,,,,,,,,,,
,,,,,1544,4.0,4,,,,,,,,,,
,,,,,1547,3.0,3,,,,,,,,,,
,,,,,1551,4.0,4,,,,,,,,,,
,,,,,1555,4.0,4,,,,,,,,,,
,,,,,1561,6.0,6,,,,,,,,,,
,,,,,1564,3.0,3,,,,,,,,,,
,,,,,1570,6.0,6,,,,,,,,,,
,,,,,1580,10.0,10,,,,,,,,,,
,,,,,1588,8.0,8,,,,,,,,,,
,,,,,1592,4.0,4,,,,,,,,,,
,,,,,1611,19.0,19,,,,,,,,,,
,,,,,1614,3.0,3,,,,,,,,,,
,,,,,1621,7.0,7,,,,,,,,,,
,,,,,1633,12.0,12,,,,,,,,,,
,,,,,1636,3.0,3,,,,,,,,,,
,,,,,1643,7.0,7,,,,,,,,,,
,,,,,1647,4.0,4,,,,,,,,,,
,,,,,1654,7.0,7,,,,,,,,,,
,,,,,1660,6.0,6,,,,,,,,,,
,,,,,1665,5.0,5,,,,,,,,,,
,,,,,1670,5.0,5,,,,,,,,,,
,,,,,1673,3.0,3,,,,,,,,,,
,,,,,1682,9.0,9,,,,,,,,,,
,,,,,1696,14.0,14,,,,,,,,,,
,,,,,1704,8.0,8,,,,,,,,,,
,,,,,1709,5.0,5,,,,,,,,,,
,,,,,1714,5.0,5,,,,,,,,,,
,,,,,1724,10.0,10,,,,,,,,,,
,,,,,1731,7.0,7,,,,,,,,,,
,,,,,1737,6.0,6,,,,,,,,,,
,,,,,1741,4.0,4,,,,,,,,,,
,,,,,1745,4.0,4,,,,,,,,,,
,,,,,1751,6.0,6,,,,,,,,,,
,,,,,1757,6.0,6,,,,,,,,,,
,,,,,1777,20.0,20,,,,,,,,,,
,,,,,1781,4.0,4,,,,,,,,,,
,,,,,1786,5.0,5,,,,,,,,,,
,,,,,1789,3.0,3,,,,,,,,,,
,,,,,1793,4.0,4,,,,,,,,,,
,,,,,1802,9.0,9,,,,,,,,,,
,,,,,1805,3.0,3,,,,,,,,,,
,,,,,1808,3.0,3,,,,,,,,,,
,,,,,1818,10.0,10,,,,,,,,,,
,,,,,1824,6.0,6,,,,,,,,,,
,,,,,1831,7.0,7,,,,,,,,,,
,,,,,1835,4.0,4,,,,,,,,,,
,,,,,1838,3.0,3,,,,,,,,,,
,,,,,1848,10.0,10,,,,,,,,,,
,,,,,1855,7.0,7,,,,,,,,,,
,,,,,1862,7.0,7,,,,,,,,,,
,,,,,1866,4.0,4,,,,,,,,,,
,,,,,1870,4.0,4,,,,,,,,,,
,,,,,1877,7.0,7,,,,,,,,,,
,,,,,1881,4.0,4,,,,,,,,,,
,,,,,1886,5.0,5,,,,,,,,,,
,,,,,1900,14.0,14,,,,,,,,,,
,,,,,1907,7.0,7,,,,,,,,,,
,,,,,1912,5.0,5,,,,,,,,,,
,,,,,1918,6.0,6,,,,,,,,,,
,,,,,1922,4.0,4,,,,,,,,,,
,,,,,1925,3.0,3,,,,,,,,,,
,,,,,1933,8.0,8,,,,,,,,,,
,,,,,1941,8.0,8,,,,,,,,,,
,,,,,1944,3.0,3,,,,,,,,,,
,,,,,1948,4.0,4,,,,,,,,,,
,,,,,1953,5.0,5,,,,,,,,,,
,,,,,1962,9.0,9,,,,,,,,,,
,,,,,1978,16.0,16,,,,,,,,,,
,,,,,1981,3.0,3,,,,,,,,,,
,,,,,2007,26.0,26,,,,,,,,,,
,,,,,2023,16.0,16,,,,,,,,,,
,,,,,2028,5.0,5,,,,,,,,,,
,,,,,2033,5.0,5,,,,,,,,,,
,,,,,2044,11.0,11,,,,,,,,,,
,,,,,2054,10.0,10,,,,,,,,,,
,,,,,2057,3.0,3,,,,,,,,,,
,,,,,2060,3.0,3,,,,,,,,,,
,,,,,2066,6.0,6,,,,,,,,,,
,,,,,2069,3.0,3,,,,,,,,,,
,,,,,2075,6.0,6,,,,,,,,,,
,,,,,2080,5.0,5,,,,,,,,,,
,,,,,2083,3.0,3,,,,,,,,,,
,,,,,2087,4.0,4,,,,,,,,,,
,,,,,2095,8.0,8,,,,,,,,,,
,,,,,2102,7.0,7,,,,,,,,,,
,,,,,2107,5.0,5,,,,,,,,,,
,,,,,2114,7.0,7,,,,,,,,,,
,,,,,2120,6.0,6,,,,,,,,,,
,,,,,2127,7.0,7,,,,,,,,,,
,,,,,2132,5.0,5,,,,,,,,,,
,,,,,2141,9.0,9,,,,,,,,,,
,,,,,2144,3.0,3,,,,,,,,,,
,,,,,2147,3.0,3,,,,,,,,,,
,,,,,2156,9.0,9,,,,,,,,,,
,,,,,2162,6.0,6,,,,,,,,,,
,,,,,2168,6.0,6,,,,,,,,,,
,,,,,2184,16.0,16,,,,,,,,,,
,,,,,2192,8.0,8,,,,,,,,,,
,,,,,2201,9.0,9,,,,,,,,,,
,,,,,2204,3.0,3,,,,,,,,,,
,,,,,2208,4.0,4,,,,,,,,,,
,,,,,2213,5.0,5,,,,,,,,,,
,,,,,2218,5.0,5,,,,,,,,,,
,,,,,2223,5.0,5,,,,,,,,,,
,,,,,2231,8.0,8,,,,,,,,,,
,,,,,2237,6.0,6,,,,,,,,,,
,,,,,2241,4.0,4,,,,,,,,,,
,,,,,2246,5.0,5,,,,,,,,,,
,,,,,2251,5.0,5,,,,,,,,,,
,,,,,2262,11.0,11,,,,,,,,,,
,,,,,2268,6.0,6,,,,,,,,,,
,,,,,2272,4.0,4,,,,,,,,,,
,,,,,2276,4.0,4,,,,,,,,,,
,,,,,2279,3.0,3,,,,,,,,,,
,,,,,2284,5.0,5,,,,,,,,,,
,,,,,2290,6.0,6,,,,,,,,,,
,,,,,2294,4.0,4,,,,,,,,,,
,,,,,2299,5.0,5,,,,,,,,,,
,,,,,2312,13.0,13,,,,,,,,,,
,,,,,2316,4.0,4,,,,,,,,,,
,,,,,2340,24.0,24,,,,,,,,,,
,,,,,2343,3.0,3,,,,,,,,,,
,,,,,2346,3.0,3,,,,,,,,,,
,,,,,2349,3.0,3,,,,,,,,,,
,,,,,2354,5.0,5,,,,,,,,,,
,,,,,2357,3.0,3,,,,,,,,,,
,,,,,2365,8.0,8,,,,,,,,,,
,,,,,2368,3.0,3,,,,,,,,,,
,,,,,2371,3.0,3,,,,,,,,,,
,,,,,2375,4.0,4,,,,,,,,,,
,,,,,2380,5.0,5,,,,,,,,,,
,,,,,2385,5.0,5,,,,,,,,,,
,,,,,2391,6.0,6,,,,,,,,,,
,,,,,2395,4.0,4,,,,,,,,,,
,,,,,2399,4.0,4,,,,,,,,,,
,,,,,2407,8.0,8,,,,,,,,,,
,,,,,2416,9.0,9,,,,,,,,,,
,,,,,2424,8.0,8,,,,,,,,,,
,,,,,2430,6.0,6,,,,,,,,,,
,,,,,2435,5.0,5,,,,,,,,,,
,,,,,2443,8.0,8,,,,,,,,,,
,,,,,2447,4.0,4,,,,,,,,,,
,,,,,2453,6.0,6,,,,,,,,,,
,,,,,2467,14.0,14,,,,,,,,,,
,,,,,2473,6.0,6,,,,,,,,,,
,,,,,2480,7.0,7,,,,,,,,,,
,,,,,2488,8.0,8,,,,,,,,,,
,,,,,2497,9.0,9,,,,,,,,,,
,,,,,2511,14.0,14,,,,,,,,,,
,,,,,2515,4.0,4,,,,,,,,,,
,,,,,2521,6.0,6,,,,,,,,,,
,,,,,2533,12.0,12,,,,,,,,,,
,,,,,2541,8.0,8,,,,,,,,,,
,,,,,2550,9.0,9,,,,,,,,,,
,,,,,2559,9.0,9,,,,,,,,,,
,,,,,2567,8.0,8,,,,,,,,,,
,,,,,2570,3.0,3,,,,,,,,,,
,,,,,2581,11.0,11,,,,,,,,,,
,,,,,2584,3.0,3,,,,,,,,,,
,,,,,2591,7.0,7,,,,,,,,,,
,,,,,2595,4.0,4,,,,,,,,,,
,,,,,2607,12.0,12,,,,,,,,,,
,,,,,2619,12.0,12,,,,,,,,,,
,,,,,2623,4.0,4,,,,,,,,,,
,,,,,2626,3.0,3,,,,,,,,,,
,,,,,2629,3.0,3,,,,,,,,,,
,,,,,2632,3.0,3,,,,,,,,,,
,,,,,2636,4.0,4,,,,,,,,,,
,,,,,2648,12.0,12,,,,,,,,,,
,,,,,2652,4.0,4,,,,,,,,,,
,,,,,2658,6.0,6,,,,,,,,,,
,,,,,2661,3.0,3,,,,,,,,,,
,,,,,2666,5.0,5,,,,,,,,,,
,,,,,2671,5.0,5,,,,,,,,,,
,,,,,2680,9.0,9,,,,,,,,,,
,,,,,2685,5.0,5,,,,,,,,,,
,,,,,2688,3.0,3,,,,,,,,,,
,,,,,2693,5.0,5,,,,,,,,,,
,,,,,2702,9.0,9,,,,,,,,,,
,,,,,2708,6.0,6,,,,,,,,,,
,,,,,2713,5.0,5,,,,,,,,,,
,,,,,2721,8.0,8,,,,,,,,,,
,,,,,2726,5.0,5,,,,,,,,,,
,,,,,2733,7.0,7,,,,,,,,,,
,,,,,2751,18.0,18,,,,,,,,,,
,,,,,2755,4.0,4,,,,,,,,,,
,,,,,2767,12.0,12,,,,,,,,,,
,,,,,2773,6.0,6,,,,,,,,,,
,,,,,2776,3.0,3,,,,,,,,,,
,,,,,2782,6.0,6,,,,,,,,,,
,,,,,2788,6.0,6,,,,,,,,,,
,,,,,2791,3.0,3,,,,,,,,,,
,,,,,2799,8.0,8,,,,,,,,,,
,,,,,2805,6.0,6,,,,,,,,,,
,,,,,2817,12.0,12,,,,,,,,,,
,,,,,2823,6.0,6,,,,,,,,,,
,,,,,2834,11.0,11,,,,,,,,,,
,,,,,2838,4.0,4,,,,,,,,,,
,,,,,2843,5.0,5,,,,,,,,,,
,,,,,2850,7.0,7,,,,,,,,,,
,,,,,2856,6.0,6,,,,,,,,,,
,,,,,2862,6.0,6,,,,,,,,,,
,,,,,2867,5.0,5,,,,,,,,,,
,,,,,2870,3.0,3,,,,,,,,,,
,,,,,2875,5.0,5,,,,,,,,,,
,,,,,2881,6.0,6,,,,,,,,,,
,,,,,2896,15.0,15,,,,,,,,,,
,,,,,2900,4.0,4,,,,,,,,,,
,,,,,2905,5.0,5,,,,,,,,,,
,,,,,2910,5.0,5,,,,,,,,,,
,,,,,2914,4.0,4,,,,,,,,,,
,,,,,2921,7.0,7,,,,,,,,,,
,,,,,2933,12.0,12,,,,,,,,,,
,,,,,2949,16.0,16,,,,,,,,,,
,,,,,2960,11.0,11,,,,,,,,,,
,,,,,2971,11.0,11,,,,,,,,,,
,,,,,2979,8.0,8,,,,,,,,,,
,,,,,2982,3.0,3,,,,,,,,,,
,,,,,2988,6.0,6,,,,,,,,,,
,,,,,3001,13.0,13,,,,,,,,,,
,,,,,3005,4.0,4,,,,,,,,,,
,,,,,3009,4.0,4,,,,,,,,,,
,,,,,3014,5.0,5,,,,,,,,,,
,,,,,3024,10.0,10,,,,,,,,,,
,,,,,3032,8.0,8,,,,,,,,,,
,,,,,3037,5.0,5,,,,,,,,,,
,,,,,3048,11.0,11,,,,,,,,,,
,,,,,3052,4.0,4,,,,,,,,,,
,,,,,3058,6.0,6,,,,,,,,,,
,,,,,3063,5.0,5,,,,,,,,,,
,,,,,3072,9.0,9,,,,,,,,,,
,,,,,3083,11.0,11,,,,,,,,,,
,,,,,3094,11.0,11,,,,,,,,,,
,,,,,3104,10.0,10,,,,,,,,,,
,,,,,3108,4.0,4,,,,,,,,,,
,,,,,3116,8.0,8,,,,,,,,,,
,,,,,3129,13.0,13,,,,,,,,,,
,,,,,3139,10.0,10,,,,,,,,,,
,,,,,3143,4.0,4,,,,,,,,,,
,,,,,3147,4.0,4,,,,,,,,,,
,,,,,3154,7.0,7,,,,,,,,,,
,,,,,3162,8.0,8,,,,,,,,,,
,,,,,3165,3.0,3,,,,,,,,,,
,,,,,3171,6.0,6,,,,,,,,,,
,,,,,3176,5.0,5,,,,,,,,,,
,,,,,3179,3.0,3,,,,,,,,,,
,,,,,3184,5.0,5,,,,,,,,,,
,,,,,3187,3.0,3,,,,,,,,,,
,,,,,3194,7.0,7,,,,,,,,,,
,,,,,3204,10.0,10,,,,,,,,,,
,,,,,3208,4.0,4,,,,,,,,,,
,,,,,3213,5.0,5,,,,,,,,,,
,,,,,3235,22.0,22,,,,,,,,,,
,,,,,3243,8.0,8,,,,,,,,,,
,,,,,3246,3.0,3,,,,,,,,,,
,,,,,3253,7.0,7,,,,,,,,,,
,,,,,3258,5.0,5,,,,,,,,,,
,,,,,3262,4.0,4,,,,,,,,,,
,,,,,3266,4.0,4,,,,,,,,,,
,,,,,3270,4.0,4,,,,,,,,,,
,,,,,3276,6.0,6,,,,,,,,,,
,,,,,3290,14.0,14,,,,,,,,,,
,,,,,3297,7.0,7,,,,,,,,,,
,,,,,3302,5.0,5,,,,,,,,,,
,,,,,3305,3.0,3,,,,,,,,,,
,,,,,3314,9.0,9,,,,,,,,,,
,,,,,3324,10.0,10,,,,,,,,,,
,,,,,3328,4.0,4,,,,,,,,,,
,,,,,3339,11.0,11,,,,,,,,,,
,,,,,3343,4.0,4,,,,,,,,,,
,,,,,3351,8.0,8,,,,,,,,,,
,,,,,3356,5.0,5,,,,,,,,,,
,,,,,3360,4.0,4,,,,,,,,,,
,,,,,3372,12.0,12,,,,,,,,,,
,,,,,3376,4.0,4,,,,,,,,,,
,,,,,3381,5.0,5,,,,,,,,,,
,,,,,3384,3.0,3,,,,,,,,,,
,,,,,3405,21.0,21,,,,,,,,,,
,,,,,3413,8.0,8,,,,,,,,,,
,,,,,3418,5.0,5,,,,,,,,,,
,,,,,3421,3.0,3,,,,,,,,,,
,,,,,3431,10.0,10,,,,,,,,,,
