Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
5.4,2.0099752,10.0,3.0,5.4,0,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,
,,,,,5,3.0,3,,,,,,,,
,,,,,8,3.0,3,,,,,,,,
,,,,,14,6.0,6,,,,,,,,
,,,,,18,4.0,4,,,,,,,,
,,,,,28,10.0,10,,,,,,,,
,,,,,31,3.0,3,,,,,,,,
,,,,,38,7.0,7,,,,,,,,
,,,,,43,5.0,5,,,,,,,,
,,,,,49,6.0,6,,,,,,,,
,,,,,53,4.0,4,,,,,,,,
,,,,,57,4.0,4,,,,,,,,
,,,,,61,4.0,4,,,,,,,,
,,,,,68,7.0,7,,,,,,,,
,,,,,72,4.0,4,,,,,,,,
,,,,,83,11.0,11,,,,,,,,
,,,,,86,3.0,3,,,,,,,,
,,,,,93,7.0,7,,,,,,,,
,,,,,97,4.0,4,,,,,,,,
,,,,,100,3.0,3,,,,,,,,
,,,,,110,10.0,10,,,,,,,,
,,,,,117,7.0,7,,,,,,,,
,,,,,120,3.0,3,,,,,,,,
,,,,,130,10.0,10,,,,,,,,
,,,,,133,3.0,3,,,,,,,,
,,,,,140,7.0,7,,,,,,,,
,,,,,146,6.0,6,,,,,,,,
,,,,,150,4.0,4,,,,,,,,
,,,,,155,5.0,5,,,,,,,,
,,,,,158,3.0,3,,,,,,,,
,,,,,164,6.0,6,,,,,,,,
,,,,,171,7.0,7,,,,,,,,
,,,,,179,8.0,8,,,,,,,,
,,,,,187,8.0,8,,,,,,,,
,,,,,191,4.0,4,,,,,,,,
,,,,,196,5.0,5,,,,,,,,
,,,,,199,3.0,3,,,,,,,,
,,,,,206,7.0,7,,,,,,,,
,,,,,214,8.0,8,,,,,,,,
,,,,,218,4.0,4,,,,,,,,
,,,,,222,4.0,4,,,,,,,,
,,,,,227,5.0,5,,,,,,,,
,,,,,230,3.0,3,,,,,,,,
,,,,,241,11.0,11,,,,,,,,
,,,,,245,4.0,4,,,,,,,,
,,,,,249,4.0,4,,,,,,,,
,,,,,252,3.0,3,,,,,,,,
,,,,,256,4.0,4,,,,,,,,
,,,,,259,3.0,3,,,,,,,,
,,,,,262,3.0,3,,,,,,,,
,,,,,265,3.0,3,,,,,,,,
,,,,,268,3.0,3,,,,,,,,
,,,,,277,9.0,9,,,,,,,,
,,,,,280,3.0,3,,,,,,,,
,,,,,285,5.0,5,,,,,,,,
,,,,,296,11.0,11,,,,,,,,
,,,,,300,4.0,4,,,,,,,,
,,,,,304,4.0,4,,,,,,,,
,,,,,308,4.0,4,,,,,,,,
,,,,,313,5.0,5,,,,,,,,
,,,,,317,4.0,4,,,,,,,,
,,,,,326,9.0,9,,,,,,,,
,,,,,330,4.0,4,,,,,,,,
,,,,,334,4.0,4,,,,,,,,
,,,,,339,5.0,5,,,,,,,,
,,,,,347,8.0,8,,,,,,,,
,,,,,352,5.0,5,,,,,,,,
,,,,,357,5.0,5,,,,,,,,
,,,,,364,7.0,7,,,,,,,,
,,,,,368,4.0,4,,,,,,,,
,,,,,380,12.0,12,,,,,,,,
,,,,,388,8.0,8,,,,,,,,
,,,,,397,9.0,9,,,,,,,,
,,,,,401,4.0,4,,,,,,,,
,,,,,406,5.0,5,,,,,,,,
,,,,,409,3.0,3,,,,,,,,
,,,,,415,6.0,6,,,,,,,,
,,,,,422,7.0,7,,,,,,,,
,,,,,436,14.0,14,,,,,,,,
,,,,,441,5.0,5,,,,,,,,
,,,,,446,5.0,5,,,,,,,,
,,,,,450,4.0,4,,,,,,,,
,,,,,454,4.0,4,,,,,,,,
,,,,,462,8.0,8,,,,,,,,
,,,,,470,8.0,8,,,,,,,,
,,,,,475,5.0,5,,,,,,,,
,,,,,479,4.0,4,,,,,,,,
,,,,,482,3.0,3,,,,,,,,
,,,,,485,3.0,3,,,,,,,,
,,,,,489,4.0,4,,,,,,,,
,,,,,494,5.0,5,,,,,,,,
,,,,,517,23.0,23,,,,,,,,
,,,,,522,5.0,5,,,,,,,,
,,,,,525,3.0,3,,,,,,,,
,,,,,528,3.0,3,,,,,,,,
,,,,,532,4.0,4,,,,,,,,
,,,,,539,7.0,7,,,,,,,,
,,,,,545,6.0,6,,,,,,,,
,,,,,550,5.0,5,,,,,,,,
,,,,,554,4.0,4,,,,,,,,
,,,,,560,6.0,6,,,,,,,,
,,,,,567,7.0,7,,,,,,,,
,,,,,571,4.0,4,,,,,,,,
,,,,,575,4.0,4,,,,,,,,
,,,,,578,3.0,3,,,,,,,,
,,,,,581,3.0,3,,,,,,,,
,,,,,585,4.0,4,,,,,,,,
,,,,,589,4.0,4,,,,,,,,
,,,,,598,9.0,9,,,,,,,,
,,,,,601,3.0,3,,,,,,,,
,,,,,605,4.0,4,,,,,,,,
,,,,,609,4.0,4,,,,,,,,
,,,,,613,4.0,4,,,,,,,,
,,,,,628,15.0,15,,,,,,,,
,,,,,631,3.0,3,,,,,,,,
,,,,,639,8.0,8,,,,,,,,
,,,,,648,9.0,9,,,,,,,,
,,,,,656,8.0,8,,,,,,,,
,,,,,663,7.0,7,,,,,,,,
,,,,,667,4.0,4,,,,,,,,
,,,,,670,3.0,3,,,,,,,,
,,,,,679,9.0,9,,,,,,,,
,,,,,691,12.0,12,,,,,,,,
,,,,,694,3.0,3,,,,,,,,
,,,,,698,4.0,4,,,,,,,,
,,,,,701,3.0,3,,,,,,,,
,,,,,706,5.0,5,,,,,,,,
,,,,,712,6.0,6,,,,,,,,
,,,,,718,6.0,6,,,,,,,,
,,,,,729,11.0,11,,,,,,,,
,,,,,732,3.0,3,,,,,,,,
,,,,,736,4.0,4,,,,,,,,
,,,,,743,7.0,7,,,,,,,,
,,,,,751,8.0,8,,,,,,,,
,,,,,766,15.0,15,,,,,,,,
,,,,,772,6.0,6,,,,,,,,
,,,,,775,3.0,3,,,,,,,,
,,,,,787,12.0,12,,,,,,,,
,,,,,791,4.0,4,,,,,,,,
,,,,,800,9.0,9,,,,,,,,
,,,,,803,3.0,3,,,,,,,,
,,,,,806,3.0,3,,,,,,,,
,,,,,809,3.0,3,,,,,,,,
,,,,,814,5.0,5,,,,,,,,
,,,,,817,3.0,3,,,,,,,,
,,,,,821,4.0,4,,,,,,,,
,,,,,828,7.0,7,,,,,,,,
,,,,,831,3.0,3,,,,,,,,
,,,,,836,5.0,5,,,,,,,,
,,,,,846,10.0,10,,,,,,,,
,,,,,850,4.0,4,,,,,,,,
,,,,,853,3.0,3,,,,,,,,
,,,,,861,8.0,8,,,,,,,,
,,,,,866,5.0,5,,,,,,,,
,,,,,871,5.0,5,,,,,,,,
,,,,,877,6.0,6,,,,,,,,
,,,,,883,6.0,6,,,,,,,,
,,,,,886,3.0,3,,,,,,,,
,,,,,892,6.0,6,,,,,,,,
,,,,,895,3.0,3,,,,,,,,
,,,,,903,8.0,8,,,,,,,,
,,,,,909,6.0,6,,,,,,,,
,,,,,912,3.0,3,,,,,,,,
,,,,,915,3.0,3,,,,,,,,
,,,,,919,4.0,4,,,,,,,,
,,,,,923,4.0,4,,,,,,,,
,,,,,927,4.0,4,,,,,,,,
,,,,,930,3.0,3,,,,,,,,
,,,,,933,3.0,3,,,,,,,,
,,,,,939,6.0,6,,,,,,,,
,,,,,951,12.0,12,,,,,,,,
,,,,,955,4.0,4,,,,,,,,
,,,,,959,4.0,4,,,,,,,,
,,,,,963,4.0,4,,,,,,,,
,,,,,968,5.0,5,,,,,,,,
,,,,,973,5.0,5,,,,,,,,
,,,,,986,13.0,13,,,,,,,,
,,,,,989,3.0,3,,,,,,,,
,,,,,993,4.0,4,,,,,,,,
,,,,,999,6.0,6,,,,,,,,
,,,,,1008,9.0,9,,,,,,,,
,,,,,1012,4.0,4,,,,,,,,
,,,,,1016,4.0,4,,,,,,,,
,,,,,1020,4.0,4,,,,,,,,
,,,,,1030,10.0,10,,,,,,,,
,,,,,1037,7.0,7,,,,,,,,
,,,,,1043,6.0,6,,,,,,,,
,,,,,1046,3.0,3,,,,,,,,
,,,,,1058,12.0,12,,,,,,,,
,,,,,1064,6.0,6,,,,,,,,
,,,,,1069,5.0,5,,,,,,,,
,,,,,1072,3.0,3,,,,,,,,
,,,,,1076,4.0,4,,,,,,,,
,,,,,1082,6.0,6,,,,,,,,
,,,,,1094,12.0,12,,,,,,,,
,,,,,1098,4.0,4,,,,,,,,
,,,,,1103,5.0,5,,,,,,,,
,,,,,1108,5.0,5,,,,,,,,
,,,,,1111,3.0,3,,,,,,,,
,,,,,1128,17.0,17,,,,,,,,
,,,,,1131,3.0,3,,,,,,,,
,,,,,1152,21.0,21,,,,,,,,
,,,,,1158,6.0,6,,,,,,,,
,,,,,1164,6.0,6,,,,,,,,
,,,,,1168,4.0,4,,,,,,,,
,,,,,1182,14.0,14,,,,,,,,
,,,,,1188,6.0,6,,,,,,,,
,,,,,1192,4.0,4,,,,,,,,
,,,,,1198,6.0,6,,,,,,,,
,,,,,1203,5.0,5,,,,,,,,
,,,,,1214,11.0,11,,,,,,,,
,,,,,1222,8.0,8,,,,,,,,
,,,,,1230,8.0,8,,,,,,,,
,,,,,1233,3.0,3,,,,,,,,
,,,,,1237,4.0,4,,,,,,,,
,,,,,1245,8.0,8,,,,,,,,
,,,,,1248,3.0,3,,,,,,,,
,,,,,1251,3.0,3,,,,,,,,
,,,,,1264,13.0,13,,,,,,,,
,,,,,1268,4.0,4,,,,,,,,
,,,,,1272,4.0,4,,,,,,,,
,,,,,1278,6.0,6,,,,,,,,
,,,,,1286,8.0,8,,,,,,,,
,,,,,1295,9.0,9,,,,,,,,
,,,,,1305,10.0,10,,,,,,,,
,,,,,1325,20.0,20,,,,,,,,
,,,,,1337,12.0,12,,,,,,,,
,,,,,1340,3.0,3,,,,,,,,
,,,,,1343,3.0,3,,,,,,,,
,,,,,1349,6.0,6,,,,,,,,
,,,,,1358,9.0,9,,,,,,,,
,,,,,1367,9.0,9,,,,,,,,
,,,,,1377,10.0,10,,,,,,,,
,,,,,1381,4.0,4,,,,,,,,
,,,,,1386,5.0,5,,,,,,,,
,,,,,1393,7.0,7,,,,,,,,
,,,,,1397,4.0,4,,,,,,,,
,,,,,1403,6.0,6,,,,,,,,
,,,,,1416,13.0,13,,,,,,,,
,,,,,1419,3.0,3,,,,,,,,
,,,,,1422,3.0,3,,,,,,,,
,,,,,1426,4.0,4,,,,,,,,
,,,,,1431,5.0,5,,,,,,,,
,,,,,1440,9.0,9,,,,,,,,
,,,,,1450,10.0,10,,,,,,,,
,,,,,1458,8.0,8,,,,,,,,
,,,,,1461,3.0,3,,,,,,,,
,,,,,1464,3.0,3,,,,,,,,
,,,,,1473,9.0,9,,,,,,,,
,,,,,1478,5.0,5,,,,,,,,
,,,,,1488,10.0,10,,,,,,,,
,,,,,1492,4.0,4,,,,,,,,
,,,,,1501,9.0,9,,,,,,,,
,,,,,1508,7.0,7,,,,,,,,
,,,,,1544,36.0,36,,,,,,,,
,,,,,1547,3.0,3,,,,,,,,
,,,,,1551,4.0,4,,,,,,,,
,,,,,1555,4.0,4,,,,,,,,
,,,,,1561,6.0,6,,,,,,,,
,,,,,1564,3.0,3,,,,,,,,
,,,,,1569,5.0,5,,,,,,,,
,,,,,1575,6.0,6,,,,,,,,
,,,,,1579,4.0,4,,,,,,,,
,,,,,1584,5.0,5,,,,,,,,
,,,,,1587,3.0,3,,,,,,,,
,,,,,1596,9.0,9,,,,,,,,
,,,,,1602,6.0,6,,,,,,,,
,,,,,1610,8.0,8,,,,,,,,
,,,,,1616,6.0,6,,,,,,,,
,,,,,1621,5.0,5,,,,,,,,
,,,,,1633,12.0,12,,,,,,,,
,,,,,1636,3.0,3,,,,,,,,
,,,,,1643,7.0,7,,,,,,,,
,,,,,1647,4.0,4,,,,,,,,
,,,,,1655,8.0,8,,,,,,,,
,,,,,1665,10.0,10,,,,,,,,
,,,,,1670,5.0,5,,,,,,,,
,,,,,1674,4.0,4,,,,,,,,
,,,,,1682,8.0,8,,,,,,,,
,,,,,1696,14.0,14,,,,,,,,
,,,,,1704,8.0,8,,,,,,,,
,,,,,1709,5.0,5,,,,,,,,
,,,,,1714,5.0,5,,,,,,,,
,,,,,1724,10.0,10,,,,,,,,
,,,,,1731,7.0,7,,,,,,,,
,,,,,1737,6.0,6,,,,,,,,
,,,,,1741,4.0,4,,,,,,,,
,,,,,1745,4.0,4,,,,,,,,
,,,,,1751,6.0,6,,,,,,,,
,,,,,1757,6.0,6,,,,,,,,
,,,,,1775,18.0,18,,,,,,,,
,,,,,1780,5.0,5,,,,,,,,
,,,,,1786,6.0,6,,,,,,,,
,,,,,1790,4.0,4,,,,,,,,
,,,,,1793,3.0,3,,,,,,,,
,,,,,1802,9.0,9,,,,,,,,
,,,,,1805,3.0,3,,,,,,,,
,,,,,1808,3.0,3,,,,,,,,
,,,,,1817,9.0,9,,,,,,,,
,,,,,1823,6.0,6,,,,,,,,
,,,,,1831,8.0,8,,,,,,,,
,,,,,1835,4.0,4,,,,,,,,
,,,,,1838,3.0,3,,,,,,,,
,,,,,1848,10.0,10,,,,,,,,
,,,,,1855,7.0,7,,,,,,,,
,,,,,1862,7.0,7,,,,,,,,
,,,,,1866,4.0,4,,,,,,,,
,,,,,1870,4.0,4,,,,,,,,
,,,,,1877,7.0,7,,,,,,,,
,,,,,1881,4.0,4,,,,,,,,
,,,,,1886,5.0,5,,,,,,,,
,,,,,1913,27.0,27,,,,,,,,
,,,,,1919,6.0,6,,,,,,,,
,,,,,1928,9.0,9,,,,,,,,
,,,,,1937,9.0,9,,,,,,,,
,,,,,1941,4.0,4,,,,,,,,
,,,,,1944,3.0,3,,,,,,,,
,,,,,1948,4.0,4,,,,,,,,
,,,,,1953,5.0,5,,,,,,,,
,,,,,1962,9.0,9,,,,,,,,
,,,,,1979,17.0,17,,,,,,,,
,,,,,1982,3.0,3,,,,,,,,
,,,,,1986,4.0,4,,,,,,,,
,,,,,1990,4.0,4,,,,,,,,
,,,,,1993,3.0,3,,,,,,,,
,,,,,2004,11.0,11,,,,,,,,
,,,,,2011,7.0,7,,,,,,,,
,,,,,2028,17.0,17,,,,,,,,
,,,,,2033,5.0,5,,,,,,,,
,,,,,2044,11.0,11,,,,,,,,
,,,,,2054,10.0,10,,,,,,,,
,,,,,2057,3.0,3,,,,,,,,
,,,,,2060,3.0,3,,,,,,,,
,,,,,2065,5.0,5,,,,,,,,
,,,,,2069,4.0,4,,,,,,,,
,,,,,2076,7.0,7,,,,,,,,
,,,,,2092,16.0,16,,,,,,,,
,,,,,2100,8.0,8,,,,,,,,
,,,,,2103,3.0,3,,,,,,,,
,,,,,2109,6.0,6,,,,,,,,
,,,,,2117,8.0,8,,,,,,,,
,,,,,2123,6.0,6,,,,,,,,
,,,,,2132,9.0,9,,,,,,,,
,,,,,2141,9.0,9,,,,,,,,
,,,,,2144,3.0,3,,,,,,,,
,,,,,2147,3.0,3,,,,,,,,
,,,,,2156,9.0,9,,,,,,,,
,,,,,2162,6.0,6,,,,,,,,
,,,,,2168,6.0,6,,,,,,,,
,,,,,2185,17.0,17,,,,,,,,
,,,,,2193,8.0,8,,,,,,,,
,,,,,2199,6.0,6,,,,,,,,
,,,,,2205,6.0,6,,,,,,,,
,,,,,2209,4.0,4,,,,,,,,
,,,,,2217,8.0,8,,,,,,,,
,,,,,2224,7.0,7,,,,,,,,
,,,,,2231,7.0,7,,,,,,,,
,,,,,2237,6.0,6,,,,,,,,
,,,,,2241,4.0,4,,,,,,,,
,,,,,2246,5.0,5,,,,,,,,
,,,,,2251,5.0,5,,,,,,,,
,,,,,2262,11.0,11,,,,,,,,
,,,,,2268,6.0,6,,,,,,,,
,,,,,2272,4.0,4,,,,,,,,
,,,,,2276,4.0,4,,,,,,,,
,,,,,2279,3.0,3,,,,,,,,
,,,,,2284,5.0,5,,,,,,,,
,,,,,2290,6.0,6,,,,,,,,
,,,,,2294,4.0,4,,,,,,,,
,,,,,2300,6.0,6,,,,,,,,
,,,,,2308,8.0,8,,,,,,,,
,,,,,2321,13.0,13,,,,,,,,
,,,,,2324,3.0,3,,,,,,,,
,,,,,2337,13.0,13,,,,,,,,
,,,,,2340,3.0,3,,,,,,,,
,,,,,2343,3.0,3,,,,,,,,
,,,,,2346,3.0,3,,,,,,,,
,,,,,2349,3.0,3,,,,,,,,
,,,,,2354,5.0,5,,,,,,,,
,,,,,2357,3.0,3,,,,,,,,
,,,,,2366,9.0,9,,,,,,,,
,,,,,2369,3.0,3,,,,,,,,
,,,,,2382,13.0,13,,,,,,,,
,,,,,2386,4.0,4,,,,,,,,
,,,,,2390,4.0,4,,,,,,,,
,,,,,2393,3.0,3,,,,,,,,
,,,,,2402,9.0,9,,,,,,,,
,,,,,2406,4.0,4,,,,,,,,
,,,,,2413,7.0,7,,,,,,,,
,,,,,2416,3.0,3,,,,,,,,
,,,,,2424,8.0,8,,,,,,,,
,,,,,2430,6.0,6,,,,,,,,
,,,,,2436,6.0,6,,,,,,,,
,,,,,2442,6.0,6,,,,,,,,
,,,,,2446,4.0,4,,,,,,,,
,,,,,2453,7.0,7,,,,,,,,
,,,,,2467,14.0,14,,,,,,,,
,,,,,2473,6.0,6,,,,,,,,
,,,,,2493,20.0,20,,,,,,,,
,,,,,2499,6.0,6,,,,,,,,
,,,,,2505,6.0,6,,,,,,,,
,,,,,2510,5.0,5,,,,,,,,
,,,,,2514,4.0,4,,,,,,,,
,,,,,2519,5.0,5,,,,,,,,
,,,,,2524,5.0,5,,,,,,,,
,,,,,2531,7.0,7,,,,,,,,
,,,,,2540,9.0,9,,,,,,,,
,,,,,2552,12.0,12,,,,,,,,
,,,,,2555,3.0,3,,,,,,,,
,,,,,2576,21.0,21,,,,,,,,
,,,,,2583,7.0,7,,,,,,,,
,,,,,2587,4.0,4,,,,,,,,
,,,,,2591,4.0,4,,,,,,,,
,,,,,2595,4.0,4,,,,,,,,
,,,,,2607,12.0,12,,,,,,,,
,,,,,2619,12.0,12,,,,,,,,
,,,,,2623,4.0,4,,,,,,,,
,,,,,2626,3.0,3,,,,,,,,
,,,,,2629,3.0,3,,,,,,,,
,,,,,2632,3.0,3,,,,,,,,
,,,,,2636,4.0,4,,,,,,,,
,,,,,2647,11.0,11,,,,,,,,
,,,,,2650,3.0,3,,,,,,,,
,,,,,2653,3.0,3,,,,,,,,
,,,,,2662,9.0,9,,,,,,,,
,,,,,2668,6.0,6,,,,,,,,
,,,,,2672,4.0,4,,,,,,,,
,,,,,2683,11.0,11,,,,,,,,
,,,,,2690,7.0,7,,,,,,,,
,,,,,2693,3.0,3,,,,,,,,
,,,,,2702,9.0,9,,,,,,,,
,,,,,2708,6.0,6,,,,,,,,
,,,,,2713,5.0,5,,,,,,,,
,,,,,2720,7.0,7,,,,,,,,
,,,,,2732,12.0,12,,,,,,,,
,,,,,2737,5.0,5,,,,,,,,
,,,,,2750,13.0,13,,,,,,,,
,,,,,2768,18.0,18,,,,,,,,
,,,,,2775,7.0,7,,,,,,,,
,,,,,2780,5.0,5,,,,,,,,
,,,,,2789,9.0,9,,,,,,,,
,,,,,2794,5.0,5,,,,,,,,
,,,,,2799,5.0,5,,,,,,,,
,,,,,2805,6.0,6,,,,,,,,
,,,,,2817,12.0,12,,,,,,,,
,,,,,2823,6.0,6,,,,,,,,
,,,,,2835,12.0,12,,,,,,,,
,,,,,2838,3.0,3,,,,,,,,
,,,,,2843,5.0,5,,,,,,,,
,,,,,2850,7.0,7,,,,,,,,
,,,,,2856,6.0,6,,,,,,,,
,,,,,2862,6.0,6,,,,,,,,
,,,,,2867,5.0,5,,,,,,,,
,,,,,2870,3.0,3,,,,,,,,
,,,,,2875,5.0,5,,,,,,,,
,,,,,2881,6.0,6,,,,,,,,
,,,,,2895,14.0,14,,,,,,,,
,,,,,2899,4.0,4,,,,,,,,
,,,,,2906,7.0,7,,,,,,,,
,,,,,2910,4.0,4,,,,,,,,
,,,,,2914,4.0,4,,,,,,,,
,,,,,2921,7.0,7,,,,,,,,
,,,,,2933,12.0,12,,,,,,,,
,,,,,2948,15.0,15,,,,,,,,
,,,,,2952,4.0,4,,,,,,,,
,,,,,2966,14.0,14,,,,,,,,
,,,,,2972,6.0,6,,,,,,,,
,,,,,2979,7.0,7,,,,,,,,
,,,,,2982,3.0,3,,,,,,,,
,,,,,2987,5.0,5,,,,,,,,
,,,,,2994,7.0,7,,,,,,,,
,,,,,3009,15.0,15,,,,,,,,
,,,,,3014,5.0,5,,,,,,,,
,,,,,3024,10.0,10,,,,,,,,
,,,,,3032,8.0,8,,,,,,,,
,,,,,3036,4.0,4,,,,,,,,
,,,,,3040,4.0,4,,,,,,,,
,,,,,3049,9.0,9,,,,,,,,
,,,,,3052,3.0,3,,,,,,,,
,,,,,3058,6.0,6,,,,,,,,
,,,,,3063,5.0,5,,,,,,,,
,,,,,3072,9.0,9,,,,,,,,
,,,,,3083,11.0,11,,,,,,,,
